nodes	mode	score	sf	ntraj	len	tf	hd_frac	shd_frac	precision	recall	f1
5	synchronous	MDL	1	3	3	0.2	0.320000	0.466667	0.333333	0.142857	0.200000
5	synchronous	BDE	1	3	3	0.2	0.280000	0.400000	0.000000	0.000000	0.000000
5	synchronous	MDL	1	3	3	0.4	0.360000	0.533333	0.000000	0.000000	0.000000
5	synchronous	BDE	1	3	3	0.4	0.280000	0.400000	0.000000	0.000000	0.000000
5	synchronous	MDL	1	3	3	0.6	0.400000	0.600000	0.000000	0.000000	0.000000
5	synchronous	BDE	1	3	3	0.6	0.320000	0.466667	0.000000	0.000000	0.000000
5	synchronous	MDL	1	3	3	0.8	0.360000	0.533333	0.000000	0.000000	0.000000
5	synchronous	BDE	1	3	3	0.8	0.320000	0.466667	0.000000	0.000000	0.000000
5	synchronous	MDL	1	3	6	0.2	0.240000	0.400000	0.600000	0.428571	0.500000
5	synchronous	BDE	1	3	6	0.2	0.360000	0.533333	0.250000	0.142857	0.181818
5	synchronous	MDL	1	3	6	0.4	0.280000	0.400000	0.500000	0.285714	0.363636
5	synchronous	BDE	1	3	6	0.4	0.280000	0.400000	0.500000	0.285714	0.363636
5	synchronous	MDL	1	3	6	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	6	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	6	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	6	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	9	0.2	0.240000	0.400000	0.600000	0.428571	0.500000
5	synchronous	BDE	1	3	9	0.2	0.240000	0.400000	0.600000	0.428571	0.500000
5	synchronous	MDL	1	3	9	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	9	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	9	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	9	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	9	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	9	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	12	0.2	0.200000	0.333333	0.750000	0.428571	0.545455
5	synchronous	BDE	1	3	12	0.2	0.240000	0.333333	0.666667	0.285714	0.400000
5	synchronous	MDL	1	3	12	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	12	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	12	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	12	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	12	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	12	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	15	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	15	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	15	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	15	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	15	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	15	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	15	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	15	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	18	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	18	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	18	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	18	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	18	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	18	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	18	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	18	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	21	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	21	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	21	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	21	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	21	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	21	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	21	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	21	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	24	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	24	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	24	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	24	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	24	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	24	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	24	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	24	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	27	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	27	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	27	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	27	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	27	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	27	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	27	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	27	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	30	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	30	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	30	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	30	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	30	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	30	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	30	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	30	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	33	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	33	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	33	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	33	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	33	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	33	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	33	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	33	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	36	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	36	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	36	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	36	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	36	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	36	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	36	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	36	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	39	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	39	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	39	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	39	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	39	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	39	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	3	39	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	3	39	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	3	0.2	0.320000	0.466667	0.333333	0.142857	0.200000
5	synchronous	BDE	1	6	3	0.2	0.320000	0.466667	0.333333	0.142857	0.200000
5	synchronous	MDL	1	6	3	0.4	0.320000	0.466667	0.333333	0.142857	0.200000
5	synchronous	BDE	1	6	3	0.4	0.320000	0.466667	0.333333	0.142857	0.200000
5	synchronous	MDL	1	6	3	0.6	0.280000	0.400000	0.500000	0.285714	0.363636
5	synchronous	BDE	1	6	3	0.6	0.320000	0.466667	0.333333	0.142857	0.200000
5	synchronous	MDL	1	6	3	0.8	0.320000	0.466667	0.333333	0.142857	0.200000
5	synchronous	BDE	1	6	3	0.8	0.320000	0.466667	0.333333	0.142857	0.200000
5	synchronous	MDL	1	6	6	0.2	0.240000	0.400000	0.600000	0.428571	0.500000
5	synchronous	BDE	1	6	6	0.2	0.240000	0.400000	0.600000	0.428571	0.500000
5	synchronous	MDL	1	6	6	0.4	0.240000	0.400000	0.600000	0.428571	0.500000
5	synchronous	BDE	1	6	6	0.4	0.280000	0.400000	0.500000	0.285714	0.363636
5	synchronous	MDL	1	6	6	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	6	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	6	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	6	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	9	0.2	0.280000	0.466667	0.500000	0.428571	0.461538
5	synchronous	BDE	1	6	9	0.2	0.240000	0.400000	0.600000	0.428571	0.500000
5	synchronous	MDL	1	6	9	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	9	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	9	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	9	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	9	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	9	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	12	0.2	0.240000	0.400000	0.600000	0.428571	0.500000
5	synchronous	BDE	1	6	12	0.2	0.240000	0.400000	0.600000	0.428571	0.500000
5	synchronous	MDL	1	6	12	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	12	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	12	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	12	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	12	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	12	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	15	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	15	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	15	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	15	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	15	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	15	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	15	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	15	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	18	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	18	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	18	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	18	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	18	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	18	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	18	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	18	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	21	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	21	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	21	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	21	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	21	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	21	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	21	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	21	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	24	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	24	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	24	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	24	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	24	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	24	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	24	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	24	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	27	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	27	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	27	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	27	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	27	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	27	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	27	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	27	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	30	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	30	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	30	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	30	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	30	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	30	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	30	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	30	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	33	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	33	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	33	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	33	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	33	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	33	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	33	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	33	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	36	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	36	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	36	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	36	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	36	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	36	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	36	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	36	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	39	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	39	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	39	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	39	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	39	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	39	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	6	39	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	6	39	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	3	0.2	0.280000	0.400000	0.500000	0.285714	0.363636
5	synchronous	BDE	1	9	3	0.2	0.320000	0.466667	0.333333	0.142857	0.200000
5	synchronous	MDL	1	9	3	0.4	0.280000	0.400000	0.500000	0.285714	0.363636
5	synchronous	BDE	1	9	3	0.4	0.320000	0.466667	0.333333	0.142857	0.200000
5	synchronous	MDL	1	9	3	0.6	0.320000	0.466667	0.333333	0.142857	0.200000
5	synchronous	BDE	1	9	3	0.6	0.320000	0.466667	0.333333	0.142857	0.200000
5	synchronous	MDL	1	9	3	0.8	0.320000	0.466667	0.333333	0.142857	0.200000
5	synchronous	BDE	1	9	3	0.8	0.320000	0.466667	0.333333	0.142857	0.200000
5	synchronous	MDL	1	9	6	0.2	0.160000	0.266667	0.714286	0.714286	0.714286
5	synchronous	BDE	1	9	6	0.2	0.240000	0.400000	0.600000	0.428571	0.500000
5	synchronous	MDL	1	9	6	0.4	0.160000	0.266667	0.714286	0.714286	0.714286
5	synchronous	BDE	1	9	6	0.4	0.240000	0.400000	0.600000	0.428571	0.500000
5	synchronous	MDL	1	9	6	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	6	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	6	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	6	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	9	0.2	0.240000	0.400000	0.600000	0.428571	0.500000
5	synchronous	BDE	1	9	9	0.2	0.240000	0.400000	0.600000	0.428571	0.500000
5	synchronous	MDL	1	9	9	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	9	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	9	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	9	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	9	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	9	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	12	0.2	0.160000	0.266667	0.714286	0.714286	0.714286
5	synchronous	BDE	1	9	12	0.2	0.160000	0.266667	0.714286	0.714286	0.714286
5	synchronous	MDL	1	9	12	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	12	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	12	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	12	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	12	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	12	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	15	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	15	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	15	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	15	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	15	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	15	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	15	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	15	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	18	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	18	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	18	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	18	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	18	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	18	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	18	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	18	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	21	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	21	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	21	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	21	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	21	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	21	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	21	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	21	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	24	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	24	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	24	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	24	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	24	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	24	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	24	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	24	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	27	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	27	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	27	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	27	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	27	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	27	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	27	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	27	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	30	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	30	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	30	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	30	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	30	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	30	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	30	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	30	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	33	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	33	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	33	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	33	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	33	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	33	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	33	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	33	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	36	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	36	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	36	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	36	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	36	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	36	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	36	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	36	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	39	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	39	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	39	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	39	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	39	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	39	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	9	39	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	9	39	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	12	3	0.2	0.240000	0.400000	0.600000	0.428571	0.500000
5	synchronous	BDE	1	12	3	0.2	0.240000	0.400000	0.600000	0.428571	0.500000
5	synchronous	MDL	1	12	3	0.4	0.240000	0.400000	0.600000	0.428571	0.500000
5	synchronous	BDE	1	12	3	0.4	0.240000	0.400000	0.600000	0.428571	0.500000
5	synchronous	MDL	1	12	3	0.6	0.240000	0.400000	0.600000	0.428571	0.500000
5	synchronous	BDE	1	12	3	0.6	0.320000	0.466667	0.333333	0.142857	0.200000
5	synchronous	MDL	1	12	3	0.8	0.240000	0.400000	0.600000	0.428571	0.500000
5	synchronous	BDE	1	12	3	0.8	0.320000	0.466667	0.333333	0.142857	0.200000
5	synchronous	MDL	1	12	6	0.2	0.160000	0.266667	0.714286	0.714286	0.714286
5	synchronous	BDE	1	12	6	0.2	0.240000	0.400000	0.600000	0.428571	0.500000
5	synchronous	MDL	1	12	6	0.4	0.120000	0.200000	0.750000	0.857143	0.800000
5	synchronous	BDE	1	12	6	0.4	0.240000	0.400000	0.600000	0.428571	0.500000
5	synchronous	MDL	1	12	6	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	12	6	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	12	6	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	12	6	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	12	9	0.2	0.120000	0.200000	0.750000	0.857143	0.800000
5	synchronous	BDE	1	12	9	0.2	0.160000	0.266667	0.714286	0.714286	0.714286
5	synchronous	MDL	1	12	9	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	12	9	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	12	9	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	12	9	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	12	9	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	12	9	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	12	12	0.2	0.240000	0.400000	0.600000	0.428571	0.500000
5	synchronous	BDE	1	12	12	0.2	0.240000	0.400000	0.600000	0.428571	0.500000
5	synchronous	MDL	1	12	12	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	12	12	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	12	12	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	12	12	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	12	12	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	12	12	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	12	15	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	12	15	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	12	15	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	12	15	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	12	15	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	12	15	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	12	15	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	12	15	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	12	18	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	12	18	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	12	18	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	12	18	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	12	18	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	12	18	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	12	18	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	12	18	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	12	21	0.2	NA	NA	NA	NA	NA
5	synchronous	BDE	1	12	21	0.2	NA	NA	NA	NA	NA
5	synchronous	MDL	1	12	21	0.4	NA	NA	NA	NA	NA
5	synchronous	BDE	1	12	21	0.4	NA	NA	NA	NA	NA
5	synchronous	MDL	1	12	21	0.6	NA	NA	NA	NA	NA
5	synchronous	BDE	1	12	21	0.6	NA	NA	NA	NA	NA
5	synchronous	MDL	1	12	21	0.8	NA	NA	NA	NA	NA
5	synchronous	BDE	1	12	21	0.8	NA	NA	NA	NA	NA
5	synchronous	MDL	1	12	24	0.2	NA	NA	NA	NA	NA
